error_code,feature,error_description,error_cause,error_response,error_url
SEARCH-NOFACET,SEARCH,No facet implementation (start/finish) specified for custom constraint: variable1,"A custom constraint expected to resolve facets (@facet = ""true"") must supply code to implement; at minimum; a finish-facet function. Optionally; it may supply a start-facet function to support concurrent facet resolution. This error indicates that the finish-facet function has not been supplied; or that the options node configuring the custom constraint is incorrect.","If the constraint should not resolve facets; set @facet =""false"". If it should resolve facets; run search:check-options on the options node to ensure the configuration is valid.",https://docs.marklogic.com/messages/SEARCH-en/SEARCH-NOFACET
SEARCH-NOINDEXREF,SEARCH,Cannot create valid index reference.: variable1,The named configuration does not refer to a valid index.,"The options supplied to this function must refer to a valid index configuration (collection; uri; range; field; or geospatial). Run search:check-options on the options node to ensure that the configuration is valid.",https://docs.marklogic.com/messages/SEARCH-en/SEARCH-NOINDEXREF
SEARCH-NONANNOTATED,SEARCH,Non-annotated query,"The Search API adds annotations as it parses queries in order to support round-tripping (search:parse generates an annotated parsed query while search:unparse takes an annotated parsed query and generates a string). The parse/unparse cycle is also used in other areas of the API; including search:remove-constraint. This error indicates that the parsed query cannot be reversed due to missing annotations. It is usually encountered when custom parsing code has been added to extend the API.","Add annotations to any custom parsing code. Consult documentation on customization of the Search API; or use search:parse to generate parsed queries and observe the annotation pattern. Contact support if further assistance is needed.",https://docs.marklogic.com/messages/SEARCH-en/SEARCH-NONANNOTATED
SEARCH-NOVALCONSTR,SEARCH,variable1 is not a valid constraint,This error does not appear to exist in code any more.,This error does not appear to exist in code any more.,https://docs.marklogic.com/messages/SEARCH-en/SEARCH-NOVALCONSTR
SEARCH-UNSUPPORTEDANCHOR,SEARCH,Unsupported anchor type,"Anchors indicating a fixed point in time may be supplied for computed buckets; which allow for dynamic calculation of relative bucket boundaries on date or dateTime constraints (e.g.; compute bucket boundaries relative to ""now""). This error indicates that the constraint type is inappropriate for the anchor.",Run search:check-options to validate the structure of the search options node. Check dynamic buckets.,https://docs.marklogic.com/messages/SEARCH-en/SEARCH-UNSUPPORTEDANCHOR
SEC-ADMINROLE,SEC,The admin role name can not be changed,You tried to change admin role name. (e.g. with sec:role-set-name),The name of the admin role is read-only and cannot be changed. Do not attempt to do so.,https://docs.marklogic.com/messages/SEC-en/SEC-ADMINROLE
SEC-AMPDNE,SEC,"Amp does not exist: namespace(variable1); local-name(variable2); document-uri(variable3); database(variable4)","An amp identified by ($namespace; $local-name; $document-uri; $database) is not present in the system.","Verify that there is an amp that can be identified by the provided namespace; local-name; document-uri; and database.",https://docs.marklogic.com/messages/SEC-en/SEC-AMPDNE
SEC-AMPEXISTS,SEC,Amp already exists,"An amp identified by the ($namespace; $local-name; $document-uri) tuple is already present in the context database.","Provide a unique tuple ($namespace; $local-name; $document-uri; $database) when creating the amp",https://docs.marklogic.com/messages/SEC-en/SEC-AMPEXISTS
SEC-BADACCESSKEY,SEC,New access key is not valid,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADACCESSKEY
SEC-BADCAP,SEC,Illegal Capability: variable1,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADCAP
SEC-BADCOLURI,SEC,Collection URI is not valid,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADCOLURI
SEC-BADCOMPARTMENTNAME,SEC,Compartment name is not valid: variable1,"You provided a compartment name which is not valid. A Valid compartment name should not contain any of the following characters: \ * ? / : < > | "". Additionally; the name cannot contain whitespaces",Provide a valid compartment name which adheres to the naming rules mentioned in the cause section,https://docs.marklogic.com/messages/SEC-en/SEC-BADCOMPARTMENTNAME
SEC-BADCOMPARTMENTPROTECTEDPATH,SEC,Bad compartment for protected path: variable1,Compartmented roles of the same protected path set should belong to the same compartment,Fix the code.,https://docs.marklogic.com/messages/SEC-en/SEC-BADCOMPARTMENTPROTECTEDPATH
SEC-BADCREDAUTH,SEC,Bad credential target authentication: variable1,The credential target authentication restriction is bad.,"Specify a valid value (basic; digest; digestbasic).",https://docs.marklogic.com/messages/SEC-en/SEC-BADCREDAUTH
SEC-BADDB,SEC,Specified database variable1 is not allowed,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADDB
SEC-BADEXTERNALSECURITYNAME,SEC,New external security name is not valid,"Provided external security name is not valid. A external security name is valid which it does not contain any of the following characters: \ * ? / : < > | "". Additionally; the name also cannot contain whitespace.",Provide a valid external security name which adheres to the naming guidelines mentioned in the cause section,https://docs.marklogic.com/messages/SEC-en/SEC-BADEXTERNALSECURITYNAME
SEC-BADKIND,SEC,"Privileges must be of kind ""execute"" or ""uri""",,,https://docs.marklogic.com/messages/SEC-en/SEC-BADKIND
SEC-BADPERMPROTECTEDPATH,SEC,Bad permission for protected path: variable1,Protected path that has a path set only allows read permission,Fix the code.,https://docs.marklogic.com/messages/SEC-en/SEC-BADPERMPROTECTEDPATH
SEC-BADPRIVACTION,SEC,New privilege action is not valid,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADPRIVACTION
SEC-BADPRIVNAME,SEC,New privilege name is not valid,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADPRIVNAME
SEC-BADROLENAME,SEC,New role name is not valid,"When user provides a role name which is not valid. Role names are valid when it does not contain any of the following characters: \ * ? / : < > |. Additionally; the name also cannot contain space in between.",Provide a valid role name which adheres to the naming guidelines mentioned in the cause section,https://docs.marklogic.com/messages/SEC-en/SEC-BADROLENAME
SEC-BADSECRETKEY,SEC,New secret key is not valid,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADSECRETKEY
SEC-BADSESSIONTOKEN,SEC,New session token is not valid,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADSESSIONTOKEN
SEC-BADSTORAGEACCOUNT,SEC,New storage account name is not valid,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADSTORAGEACCOUNT
SEC-BADSTORAGEKEY,SEC,New storage key is not valid,,,https://docs.marklogic.com/messages/SEC-en/SEC-BADSTORAGEKEY
SEC-BADUSERNAME,SEC,New user name is not valid,"Provided user name is not valid. A user name is valid which it does not contain any of the following characters: \ * ? / : < > | "". Additionally; the name also cannot contain whitespace.",Provide a valid user name which adheres to the naming guidelines mentioned in the cause section,https://docs.marklogic.com/messages/SEC-en/SEC-BADUSERNAME
SEC-COLCNE,SEC,Collection not protected,,,https://docs.marklogic.com/messages/SEC-en/SEC-COLCNE
SEC-COLDNE,SEC,Collection not protected: variable1,,,https://docs.marklogic.com/messages/SEC-en/SEC-COLDNE
SEC-COLPERM,SEC,Collection permission denied: variable1 variable2,,,https://docs.marklogic.com/messages/SEC-en/SEC-COLPERM
SEC-COLPROTECTED,SEC,Collection already protected,,,https://docs.marklogic.com/messages/SEC-en/SEC-COLPROTECTED
SEC-COMPARTMENTDNE,SEC,Compartment does not exist: variable1,Specified compartment name is not valid.,Specify a valid security compartment name; check its spelling and if it has been created.,https://docs.marklogic.com/messages/SEC-en/SEC-COMPARTMENTDNE
SEC-CREDENTIALDNE,SEC,Credential does not exist: variable1,There is no credential with the given name,Provide a different credential name.,https://docs.marklogic.com/messages/SEC-en/SEC-CREDENTIALDNE
SEC-CREDENTIALEXISTS,SEC,Credential already exists: variable1,There is already another credential with the same name in the system.,Provide a different credential name which is not already in the system.,https://docs.marklogic.com/messages/SEC-en/SEC-CREDENTIALEXISTS
SEC-DEFAULTUSERDNE,SEC,Default user does not exist: variable1 = variable2,,,https://docs.marklogic.com/messages/SEC-en/SEC-DEFAULTUSERDNE
SEC-DUNOPRIV,SEC,Admin error. Default user does not have privileges to this server.,,,https://docs.marklogic.com/messages/SEC-en/SEC-DUNOPRIV
SEC-EMPTYACCESSKEY,SEC,New access key is empty,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYACCESSKEY
SEC-EMPTYLDAPATTRIBUTE,SEC,Empty ldap attribute element,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYLDAPATTRIBUTE
SEC-EMPTYLDAPBASE,SEC,Empty ldap base element,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYLDAPBASE
SEC-EMPTYLDAPDEFAULTUSER,SEC,Empty ldap default user element,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYLDAPDEFAULTUSER
SEC-EMPTYLDAPPASSWORD,SEC,Empty ldap password element,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYLDAPPASSWORD
SEC-EMPTYLDAPSERVERURI,SEC,Empty ldap server uri element,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYLDAPSERVERURI
SEC-EMPTYNSPREFIX,SEC,Namespace prefix must not be empty.,Namespace prefix must not be empty.,Empty ns prefix is not allowed. Use a non-empty prefix.,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYNSPREFIX
SEC-EMPTYNSURI,SEC,Namespace uri must not be empty.,Namespace uri must not be empty.,Empty ns uri is not allowed. Use a legal uri.,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYNSURI
SEC-EMPTYPWD,SEC,Empty password,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYPWD
SEC-EMPTYREALM,SEC,Empty realm,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYREALM
SEC-EMPTYSECRETKEY,SEC,New secret key is empty,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYSECRETKEY
SEC-EMPTYSESSIONTOKEN,SEC,New session token is empty,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYSESSIONTOKEN
SEC-EMPTYSTORAGEACCOUNT,SEC,New storage account name is empty,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYSTORAGEACCOUNT
SEC-EMPTYSTORAGEKEY,SEC,New storage key is empty,,,https://docs.marklogic.com/messages/SEC-en/SEC-EMPTYSTORAGEKEY
SEC-EXTERNALSECURITYDNE,SEC,External security does not exist: variable1 = variable2,The external security you specified is not present in the system.,"Make sure you check for misspelling the config name and verify the availability of the config in the system; then retry.",https://docs.marklogic.com/messages/SEC-en/SEC-EXTERNALSECURITYDNE
SEC-EXTERNALSECURITYEXISTS,SEC,External security already exists,There is already another external security with the same name in the system.,Provide a different external security name which is not already in the system.,https://docs.marklogic.com/messages/SEC-en/SEC-EXTERNALSECURITYEXISTS
SEC-EXTERNALSECURITYINUSE,SEC,"External security is protecting an HTTP; XDBC or ODBC Server.","External security is protecting an HTTP; XDBC or ODBC Server.","Remove external security from HTTP; XDBC or ODBC Server",https://docs.marklogic.com/messages/SEC-en/SEC-EXTERNALSECURITYINUSE
SEC-EXTSECCADEPRECATED,SEC,Client certificate authorities in external security is deprecated. You can set the client certificate authorities in the AppServer.,,,https://docs.marklogic.com/messages/SEC-en/SEC-EXTSECCADEPRECATED
SEC-GPHPERMDENIED,SEC,Graph Permission denied: variable1 variable2,,,https://docs.marklogic.com/messages/SEC-en/SEC-GPHPERMDENIED
SEC-ILLEGALNSPREFIX,SEC,"Namespace prefix ""xml"" is reserved; Try different prefix.","Namespace prefix ""xml"" is reserved. It cannot be re-defined.","""xml"" is a reserved namespace prefix. Try different prefix.",https://docs.marklogic.com/messages/SEC-en/SEC-ILLEGALNSPREFIX
SEC-INVALIDCREDNAME,SEC,"Invalid credential name: ""variable1""",The credential name is invalid.,Choose a name that is a valid NMTOKEN.,https://docs.marklogic.com/messages/SEC-en/SEC-INVALIDCREDNAME
SEC-INVALIDFORMAT,SEC,"variable1 has the wrong format or is corrupted; variable2",,,https://docs.marklogic.com/messages/SEC-en/SEC-INVALIDFORMAT
SEC-INVALIDPERM,SEC,Invalid permission,,,https://docs.marklogic.com/messages/SEC-en/SEC-INVALIDPERM
SEC-INVALIDPWD,SEC,variable1 passphrase provided is invalid,,,https://docs.marklogic.com/messages/SEC-en/SEC-INVALIDPWD
SEC-INVAMP,SEC,Invalid amp: doc(variable1),,,https://docs.marklogic.com/messages/SEC-en/SEC-INVAMP
SEC-INVAUTHENTICATION,SEC,Invalid authentication element,,,https://docs.marklogic.com/messages/SEC-en/SEC-INVAUTHENTICATION
SEC-INVAUTHHEADER,SEC,Invalid HTTP Authorize header.,,,https://docs.marklogic.com/messages/SEC-en/SEC-INVAUTHHEADER
SEC-INVAUTHORIZATION,SEC,Invalid authorization element,,,https://docs.marklogic.com/messages/SEC-en/SEC-INVAUTHORIZATION
